accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
-0.980490231,0,-0.419291314,-1.576858894,6.490335959,1.654273318,0.049594345,0.17656385,0.507538106
-1.007030578,-0.030143533,-0.355569841,18.32912595,-4.077920333,1.665273181,0,0.076366405,0.890314458
-0.99662361,0.087504068,-0.254249646,24.22966858,23.00537371,-26.29352101,0,0,0.727061204
-1.072769569,0.020410658,-0.278066545,171.5072772,47.81734064,14.04987495,0,0,0
-0.975218184,0.089422491,-0.244476916,-4.368430002,-22.86876827,10.13641664,0,0,0.847200627
-1.003061195,0.099093402,-0.538213604,14.01563996,-24.99710559,5.421266439,0.14490327,0.311779791,0
-0.870712717,0.030054832,-0.774410453,44.78235956,-42.8294165,21.9760447,0,0,0
-1.132551645,0.311928424,-0.961514166,139.0219352,168.7215,13.40435493,0,0,0
-0.99735282,0.031362014,-0.172694523,41.10124849,-28.13805947,23.86292144,0,0,1.051900371
-1.253190267,0.143231848,-0.306374093,-120.5387936,12.46807423,-30.06579225,0,0.058276836,0.554579058
-1.003028027,-0.040778688,-0.650157099,-0.661148372,-15.7544235,-1.361334986,0.258782352,0.338195733,0
-0.874606865,-0.050672213,-0.767728831,22.18590412,-30.83068027,5.836567234,0,0,0
-1.430981951,0.108255532,-0.882045983,81.16489353,250.0016502,38.07136279,0,0,0
-1.05722426,0.06707754,-0.245040269,37.89187289,-21.11133804,14.27840567,0,0,0.818710838
-1.079440151,0.038825855,-0.344416732,-40.09405245,-9.841549693,0.651874993,0,0,0.78323159
-0.958633663,-0.077858374,-0.468185314,-17.19878258,-12.19831238,-7.30391738,0.258037739,0.240840851,0
-0.947739072,0.020508272,-0.735345686,-4.093391729,-43.62922233,-16.69175541,0,0,0
-0.766617465,0.091778663,-0.739347437,-33.86872849,68.99175742,-24.92752945,0,0,0
-0.771888337,-0.099342591,-0.082690646,-118.7774065,-17.24009341,-70.11848007,0,0,0.455876208
-0.983381138,-0.284080811,-0.532416291,-30.1979598,-13.79307637,-6.246816507,0,0.068192509,0.652539705
-0.926061528,0.010423265,-0.557962114,-7.429926205,-5.977860454,-3.960604054,0.163263557,0.191988741,0
-0.947597191,-0.041965297,-0.678048932,1.351715862,-32.73865077,-6.46483404,0,0,0
-0.752894412,-0.170878359,-0.382643916,-83.85875251,94.66071522,-8.197417601,0,0,0
-0.973463993,0.372257664,-0.12575648,42.98301926,-30.65527746,21.10659945,0,0,0.485114162
-1.125434309,0.009942623,-0.142056464,-16.64558324,-8.079740237,-0.948215269,0,0,0.795303076
