accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
-0.856478524,0.219535986,-0.774438154,17.1489106,-14.61615714,10.6673552,0,0,0
-0.587408706,-0.070460328,-1.141897306,3.604727709,-33.75942196,22.70804987,0.293457851,0,0
-0.481689673,0.202834423,-0.876914623,-24.29260129,24.93544789,-7.182941767,0,0,0
-0.696340192,0,-0.754619693,3.221034055,-36.29627482,22.79590024,0.405957696,0,0
-0.423017454,0.010429019,-1.174924877,8.669730159,42.32190502,-14.70824139,0.501528635,0,0
-0.225973986,-0.077593126,-0.733410638,81.40563017,4.980055162,-43.34716925,0.096897833,0,0
-0.186617636,0.181123434,-1.210733476,-5.375500497,-47.46116505,-15.6672528,0.61565571,0.093540994,0
-0.946551241,0.118016006,-0.609851769,17.87444329,52.94526244,4.215545304,0,0,0
-0.386572368,-0.152985819,-1.069709845,2.011473094,-21.3200991,-4.619095747,0.442331073,0.050497729,0
-0.966871973,0.040255589,-0.583985336,48.56998443,176.4721045,39.49353113,0,0,0
-0.822598766,-0.030418069,-0.975451088,-16.46757171,-134.4178593,12.90188412,0.3285591,0.059673443,0
-0.938898753,0.103982817,-0.630409717,-10.31693702,-17.82510068,8.418662517,0,0,0
-0.847669088,0.20469594,-0.729626636,5.52016921,-33.53077645,11.90161153,0.514761451,0.197095512,0
-1.071310965,0.181582844,-1.046323798,35.44011994,69.18996432,9.15711976,0.131245539,0.071656632,0
-1.971270349,0.303183816,-1.114107476,4.452160342,-84.75729335,83.49769978,0,0,0.804180887
-0.827286871,0.020916401,-0.712777714,50.72953048,-9.692831192,-8.56414419,0,0,0
-0.779519229,-0.218973381,-0.934117188,56.55149213,12.94355535,37.06991021,0.432638507,0.058763727,0
-0.7132776,0.270950642,-0.568188502,-52.65804674,77.02464092,-42.77956196,0,0,0
-0.910096856,0.124194091,-0.686679493,11.37705452,24.89500672,-5.247150777,0,0,0.345122864
-1.034337874,0.078485925,-0.718860432,14.95930348,-42.94753064,-19.31703249,0.266188336,0,0
-0.510609674,-0.229566481,-0.89750451,-112.9467229,-50.31203626,26.94418534,0,0,0.53667265
-0.657552646,0.203795665,-0.030061219,47.43234399,-33.77980008,-2.068425289,0.144700941,0,0.76928206
