accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
-0.30,1.00,-0.23,-51.15,-32.29,-3.48,0.00,0.00,0.00
-0.30,0.96,-0.16,21.48,24.23,-5.31,0.00,0.00,0.64
-0.19,0.94,0.08,18.37,-16.78,0.73,0.00,0.42,0.00
-0.49,0.90,0.15,48.89,-18.19,9.46,0.00,0.18,0.00
-0.46,1.19,0.54,-208.37,-158.94,-76.48,0.00,0.00,0.00
-0.14,0.98,-0.18,26.37,17.88,-15.87,0.00,0.00,0.75
-0.44,1.22,-0.22,-0.31,44.31,9.64,0.07,0.19,0.56
-0.28,0.80,0.31,29.60,3.97,2.26,0.27,0.47,0.00
-0.60,0.75,-0.04,-185.49,-72.20,16.78,0.00,0.00,0.00
-0.35,0.96,-0.31,58.35,-60.67,-17.58,0.00,0.00,0.53
-0.45,0.94,-0.24,19.71,2.62,-1.59,0.16,0.00,0.66
-0.25,0.88,0.23,36.38,6.77,-3.54,0.43,0.40,0.00
-0.33,0.70,0.41,39.61,-15.69,7.57,0.00,0.00,0.00
