accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
-1.03,0.01,-0.60,10.31,-19.90,-4.70,0.27,0.40,0.00
-1.32,0.09,-0.86,-7.20,-27.89,-21.00,0.00,0.00,0.00
-0.71,0.27,-0.66,-53.71,84.17,-14.04,0.00,0.00,0.00
-0.91,0.09,-0.52,35.22,24.35,3.05,0.06,0.25,0.07
-0.77,0.03,-0.72,54.02,132.87,34.30,0.00,0.00,0.00
-0.89,-0.07,-0.91,43.46,-40.95,24.05,0.19,0.21,0.29
-1.08,0.30,-0.52,12.76,-32.84,-11.96,0.12,0.00,0.00
-0.55,0.23,-1.14,-54.87,-49.74,-23.44,0.00,0.00,0.00
-0.84,0.01,-0.85,30.52,31.74,-4.33,0.39,0.53,0.00
-0.88,0.24,-0.82,-5.37,-67.32,-4.64,0.00,0.00,0.00
-0.91,0.05,-0.52,81.30,7.32,26.37,0.00,0.00,0.22
-0.94,0.03,-0.71,21.91,-48.52,4.94,0.00,0.00,0.00
-0.77,0.25,-0.88,-64.15,-30.52,-20.39,0.00,0.00,0.00
-0.77,-0.05,-0.72,27.04,-1.59,2.81,0.20,0.20,0.00
-1.03,0.08,-0.69,13.85,138.55,44.92,0.00,0.00,0.00
-0.99,-0.11,-0.58,21.79,-8.54,6.53,0.00,0.17,0.88
-1.11,0.11,-0.77,48.83,-76.97,14.65,0.00,0.00,0.00
-0.67,0.13,-0.79,45.10,-103.33,-5.92,0.00,0.00,0.00
-1.15,-0.03,-0.66,-24.84,-24.66,-17.21,0.31,0.25,0.00
-0.87,0.03,-0.75,22.71,121.28,53.10,0.00,0.00,0.00
-0.85,0.02,-0.58,-87.28,15.63,-29.11,0.00,0.28,0.27
-1.10,0.30,-0.30,318.97,-3.17,72.94,0.00,0.00,0.00
-1.09,0.10,-0.66,42.66,10.68,-2.01,0.09,0.22,0.53
-1.09,0.21,-0.45,77.64,-19.10,30.64,0.00,0.00,0.00
-0.85,0.08,-0.30,69.03,5.00,12.94,0.00,0.00,1.01
-1.20,0.02,-0.70,27.53,-66.65,-0.73,0.00,0.00,0.00
-1.08,-0.26,-0.12,24.66,-21.30,36.93,0.00,0.00,0.45
-1.20,0.22,-0.66,-9.52,-53.22,-24.90,0.12,0.19,0.00
-1.06,0.30,-0.79,-87.22,144.23,-14.04,0.00,0.00,0.00
-1.04,0.01,-0.59,18.86,-26.79,-1.22,0.27,0.48,0.00
-0.96,0.06,-0.47,14.16,-6.96,8.42,0.00,0.00,0.00
-1.04,-0.11,-0.66,8.73,-28.14,-3.48,0.00,0.19,1.08
-0.87,0.19,-0.92,-9.77,-72.75,-14.53,0.00,0.00,0.00
-1.54,0.09,0.26,-38.27,-2.26,5.13,0.00,0.00,0.18
-0.97,0.06,-0.67,27.89,-20.45,-9.40,0.18,0.28,0.00
-1.09,0.23,-0.75,-71.47,149.66,2.75,0.00,0.00,0.00
-0.98,0.03,-0.64,4.33,-9.77,-1.65,0.27,0.27,0.00
-0.94,0.20,-0.89,-0.61,-87.34,0.67,0.00,0.00,0.00
-0.79,0.10,-0.80,-31.62,8.79,5.31,0.19,0.19,0.00
-1.10,0.14,-0.73,-0.31,-86.36,-18.13,0.00,0.00,0.00
-1.07,-0.05,-0.80,8.06,-19.65,10.74,0.06,0.00,0.00
-1.07,0.26,-0.58,1.89,-36.50,-35.03,0.16,0.06,0.00
-0.70,0.39,-1.20,-78.92,-26.92,-27.47,0.00,0.00,0.00
