accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
-0.34,0.95,-0.29,-16.24,-13.79,-1.95,0.63,0,0.49,0
-0.19,0.92,-0.58,-29.6,-24.66,-3.23,0.06,0,0.13,0
-0.33,0.98,-0.19,-8.3,6.71,-0.31,0.2,0,0.08,1.01
-0.26,0.98,-0.31,-15.81,-12.33,1.59,0.84,0,0.65,0
-0.21,0.93,-0.19,-15.56,20.75,0.06,0.07,0,0,0.99
-0.32,1,-0.27,-10.38,-12.27,-0.49,0.61,0,0.48,0
-0.18,1.01,-0.13,-13.37,-30.58,-4.76,0.06,0,0,1.08
-0.21,1.35,-0.13,-33.14,10.99,-16.36,0.6,0,0.39,0.07
-0.28,0.99,-0.19,11.96,-26,-12.02,0.5,0,0.26,0.62
-0.17,0.97,-0.12,-15.93,-14.16,9.64,0.28,0,0.13,0.69
-0.28,0.99,-0.36,-41.2,-9.4,-8.79,0.37,0,0.4,0
-0.32,0.96,-0.16,-6.84,-6.59,2.56,0.38,0.1,0.17,0.92
-0.26,1.02,-0.35,-30.64,-11.84,5.13,0.92,0.2,0.66,0
-0.28,0.97,-0.16,-12.51,-32.1,5.25,0.33,0,0.14,0.77
-0.26,0.94,-0.13,-25.39,-14.1,-2.93,0.48,0.07,0.28,0.69
-0.47,0.85,-0.24,-9.89,32.9,-5.74,0.2,0,0,0.86
-0.23,1,-0.24,-0.31,5,-13.92,0.07,0,0,0.47
-0.23,1.06,-0.41,2.87,0.67,-2.14,0.74,0.41,0.48,0.06
-0.21,0.96,-0.53,-18.13,-8.3,-2.08,0.07,0.14,0.16,0
-0.34,0.97,-0.12,-4.27,-17.94,6.35,0.28,0.15,0.13,0.84
