accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.24,0.00,-1.22,3.48,0.06,-0.79,0.00,0.00,0.00,0.00,2
-0.25,0.01,-1.22,3.66,0.98,-0.73,0.00,0.00,0.00,0.00,2
-0.23,0.01,-1.25,19.23,0.55,5.00,0.00,0.00,0.00,0.00,2
-0.26,0.01,-1.22,5.62,-0.55,3.78,0.00,0.00,0.00,0.00,2
-0.23,0.03,-1.22,2.08,0.55,2.69,0.00,0.00,0.00,0.00,2
-0.26,0.07,-1.21,0.92,1.77,-0.73,0.00,0.00,0.00,0.00,2
-0.23,0.07,-1.22,0.55,1.40,-1.16,0.00,0.00,0.00,0.00,2
-0.28,0.01,-1.21,-0.18,3.48,-3.23,0.00,0.00,0.00,0.00,2
-0.26,0.06,-1.24,16.05,-4.82,-3.91,0.00,0.00,0.00,0.00,2
-0.25,0.04,-1.20,-1.95,3.78,-3.97,0.00,0.00,0.00,0.00,2
-0.28,0.01,-1.20,8.48,0.31,2.14,0.00,0.00,0.00,0.00,2
-0.28,0.06,-1.24,5.43,-1.40,-1.95,0.00,0.00,0.00,0.00,2
-0.28,0.05,-1.26,12.21,11.35,-1.59,0.00,0.00,0.00,0.00,2
-0.29,-0.00,-1.22,8.97,-1.40,2.99,0.00,0.00,0.00,0.00,2
-0.30,0.03,-1.21,11.35,13.43,5.92,0.00,0.00,0.00,0.00,2
-0.30,0.04,-1.24,1.34,6.84,8.73,0.00,0.00,0.00,0.00,2
-0.27,-0.01,-1.22,2.44,-0.79,1.28,0.00,0.00,0.00,0.00,2
-0.22,0.02,-1.23,9.95,0.06,1.65,0.00,0.00,0.00,0.00,2
-0.27,0.01,-1.21,5.37,0.31,4.76,0.00,0.00,0.00,0.00,2
-0.25,-0.06,-1.20,4.03,5.37,-12.82,0.00,0.00,0.00,0.00,2
-0.28,0.03,-1.23,13.92,2.87,-0.85,0.00,0.00,0.00,0.00,2
-0.21,0.06,-1.22,-17.40,6.35,-8.67,0.00,0.00,0.00,0.00,2
-0.27,0.02,-1.25,3.78,-0.73,-0.18,0.00,0.00,0.00,0.00,2
-0.26,0.03,-1.25,-6.96,8.42,-1.16,0.00,0.00,0.00,0.00,2
-0.22,0.04,-1.24,13.92,-13.67,1.59,0.00,0.00,0.00,0.00,2
-0.26,0.01,-1.13,23.86,7.02,-1.28,0.00,0.00,0.00,0.00,2
-0.28,-0.00,-1.20,0.85,0.18,-0.85,0.00,0.00,0.00,0.00,2
-0.26,0.05,-1.23,12.02,-1.53,8.24,0.00,0.00,0.00,0.00,2
-0.28,0.05,-1.12,9.70,-13.98,-3.11,0.00,0.00,0.00,0.00,2
-0.27,0.06,-1.22,7.87,4.94,6.10,0.00,0.00,0.00,0.00,2
-0.28,0.05,-1.22,16.48,-2.50,0.67,0.00,0.00,0.00,0.00,2
-0.29,0.05,-1.21,3.66,4.70,2.20,0.00,0.00,0.00,0.00,2
-0.28,0.04,-1.23,1.28,0.49,-2.56,0.00,0.00,0.00,0.00,2
-0.23,0.11,-1.22,4.21,-1.04,-0.73,0.00,0.00,0.00,0.00,2
-0.25,0.07,-1.26,-0.06,-2.14,-0.85,0.00,0.00,0.00,0.00,2
-0.26,0.06,-1.22,-3.85,-12.21,-1.28,0.00,0.00,0.00,0.00,2
-0.23,0.05,-1.21,4.33,2.08,-2.01,0.00,0.00,0.00,0.59,2
-0.23,0.04,-1.22,3.97,-0.06,-0.12,0.00,0.00,0.00,0.77,2
-0.23,0.04,-1.19,2.26,-1.40,-1.10,0.00,0.00,0.00,0.48,2
