accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.12,0.08,-1.25,3.23,-0.31,0.24,0.00,0.00,0.00,0.00,2
-0.12,0.08,-1.24,2.93,-0.12,-0.49,0.00,0.00,0.00,0.00,2
-0.12,0.08,-1.24,2.93,-0.06,-0.37,0.00,0.00,0.00,0.00,2
-0.14,0.03,-1.25,6.41,5.19,29.91,0.00,0.00,0.00,0.00,2
-0.14,0.08,-1.25,4.76,-4.70,-1.04,0.00,0.00,0.00,0.00,2
-0.16,0.02,-1.20,8.00,-7.32,2.69,0.00,0.00,0.00,0.00,2
-0.09,0.10,-1.25,9.28,-12.51,25.57,0.00,0.00,0.00,0.00,2
-0.11,0.08,-1.25,8.67,-10.44,26.00,0.00,0.00,0.00,0.00,2
-0.05,0.09,-1.25,-0.31,8.42,1.28,0.00,0.00,0.45,0.00,2
-0.08,0.09,-1.25,3.30,-1.34,-0.49,0.26,0.00,0.56,0.00,2
-0.08,0.09,-1.25,2.69,0.55,-0.31,0.32,0.00,0.45,0.00,2
-0.08,0.10,-1.24,2.99,-0.61,-0.61,0.37,0.00,0.36,0.00,2
-0.08,0.09,-1.25,1.71,1.95,-0.55,0.00,0.00,0.71,0.00,2
-0.08,0.09,-1.24,3.05,-0.67,-0.55,0.28,0.00,0.19,0.00,2
-0.07,0.10,-1.24,2.20,1.28,-0.67,0.31,0.00,0.42,0.00,2
-0.09,0.09,-1.25,2.99,0.06,-0.49,0.48,0.00,0.00,0.00,2
-0.08,0.09,-1.24,2.20,1.16,-0.55,0.00,0.00,0.80,0.00,2
-0.09,0.09,-1.26,7.39,-9.70,-1.40,0.00,0.00,0.00,0.00,2
-0.04,0.09,-1.24,1.46,-3.78,-1.10,0.00,0.00,0.79,0.00,2
-0.04,0.09,-1.24,3.23,1.28,-0.55,0.42,0.00,0.00,0.00,2
-0.03,0.09,-1.24,2.50,0.37,-0.61,0.31,0.00,0.37,0.00,2
-0.04,0.09,-1.25,2.69,-0.06,-0.79,0.40,0.00,0.20,0.00,2
-0.04,0.09,-1.25,2.75,0.06,-0.61,0.38,0.00,0.35,0.00,2
-0.04,0.09,-1.24,3.05,-0.37,-0.73,0.37,0.00,0.40,0.00,2
-0.03,0.09,-1.25,2.56,-0.49,-0.85,0.25,0.00,0.49,0.00,2
-0.04,0.09,-1.25,2.81,-0.06,-0.61,0.30,0.00,0.43,0.00,2
-0.03,0.09,-1.25,2.99,1.40,-0.43,0.24,0.00,0.45,0.00,2
-0.04,0.10,-1.21,5.62,14.47,0.06,0.57,0.00,0.00,0.00,2
-0.05,0.09,-1.26,2.32,-2.08,-1.16,0.00,0.00,0.85,0.00,2
-0.06,0.10,-1.25,3.11,2.14,-0.49,0.39,0.00,0.00,0.00,2
