accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
-0.04,1.07,-0.13,11.23,22.34,-14.16,0.06,0,0,0.37
-0.16,1,-0.17,1.16,10.31,6.84,0.35,0.17,0,0.7
-0.16,1,-0.09,-19.53,-36.13,8.24,0.3,0.08,0,0.7
-0.2,0.99,-0.1,-28.93,28.44,8.12,0.46,0.18,0,0.46
-0.25,1.04,-0.16,-15.81,28.5,-10.8,0.13,0,0,0.75
0.11,0.97,-0.08,-22.46,-12.02,20.69,0.04,0,0,1.08
-0.18,0.98,-0.12,-20.08,-25.02,8.91,0.53,0,0.06,0.42
-0.06,0.96,-0.13,-18.01,-31.01,6.77,0.07,0,0,0.85
0.03,1.01,-0.09,-7.81,15.5,-10.86,0.45,0,0.12,0.26
0.24,0.98,-0.21,0.49,-12.76,-5,0.14,0,0,0.42
0.26,0.96,-0.2,3.78,0.55,7.2,0.12,0.07,0,0.51
-0.09,1.03,-0.14,-15.26,-16.66,32.9,0.17,0.07,0,0.81
-0.11,1.13,-0.22,-44.49,-29.79,3.3,0.3,0,0,0.45
-0.4,0.97,-0.25,-36.13,37.17,0.31,0.78,0.13,0.45,0
-0.17,1.03,-0.13,-22.77,-33.08,13.92,0.29,0.16,0.05,0.48
-0.29,0.99,-0.67,58.84,412.78,-120.61,0.44,0,0,0
-0.27,1.07,-0.32,-40.28,-19.96,13.06,0.61,0.17,0.29,0
-0.23,1.01,-0.26,-34,-2.32,4.88,0.5,0.12,0.26,0
-0.24,1.03,-0.26,-22.34,-30.76,7.87,0.58,0.19,0.35,0
-0.21,1,-0.14,-16.11,-22.71,8.48,0.2,0.17,0,0.53
