accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.04,0.10,-1.26,2.62,0.18,0.12,0.00,0.00,0.00,0.00,2
-0.04,0.10,-1.24,2.69,0.06,0.43,0.00,0.00,0.00,0.00,2
-0.05,0.10,-1.25,2.56,0.31,0.31,0.00,0.00,0.00,0.00,2
-0.05,0.10,-1.26,2.56,0.06,0.31,0.00,0.00,0.00,0.00,2
-0.05,0.10,-1.26,2.69,0.18,0.24,0.00,0.00,0.00,0.00,2
-0.05,0.10,-1.25,2.81,-0.18,0.00,0.00,0.00,0.00,0.00,2
-0.05,0.10,-1.25,2.93,-0.55,0.24,0.00,0.00,0.00,0.00,2
-0.06,0.08,-1.24,3.05,0.73,0.49,0.00,0.00,0.00,0.00,2
-0.05,0.10,-1.25,3.48,-1.59,0.24,0.00,0.00,0.00,0.00,2
-0.05,0.10,-1.25,2.44,0.37,0.24,0.00,0.00,0.00,0.00,2
-0.05,0.10,-1.26,4.58,-3.42,-0.12,0.00,0.00,0.00,0.00,2
-0.05,0.10,-1.25,3.23,-1.04,0.18,0.14,0.00,0.00,0.00,2
-0.05,0.09,-1.25,2.87,-0.31,0.18,0.00,0.00,0.00,0.00,2
-0.05,0.10,-1.26,3.05,-0.49,0.12,0.15,0.00,0.80,0.00,2
-0.05,0.09,-1.25,2.26,0.37,0.12,0.38,0.00,0.00,0.00,2
-0.05,0.10,-1.26,2.26,1.65,0.37,0.14,0.00,0.58,0.00,2
-0.05,0.09,-1.26,1.40,2.50,0.37,0.24,0.00,0.46,0.00,2
-0.06,0.09,-1.25,2.87,0.12,0.18,0.26,0.00,0.39,0.00,2
-0.06,0.09,-1.25,2.14,0.49,0.37,0.32,0.00,0.19,0.00,2
-0.05,0.10,-1.25,2.62,0.49,0.55,0.65,0.00,0.00,0.00,2
-0.06,0.09,-1.25,2.56,0.12,0.00,0.25,0.00,0.00,0.00,2
-0.06,0.09,-1.25,3.05,-0.49,0.31,0.00,0.00,0.96,0.00,2
-0.06,0.10,-1.24,-1.28,7.45,0.79,0.00,0.00,0.00,0.00,2
-0.05,0.10,-1.26,5.07,-4.52,-0.43,0.00,0.00,0.58,0.00,2
