accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
0.01,1.18,-0.41,-88.5,3.42,1.53,0.53,0.17,0.07,0
0.09,1.09,-0.46,-77.51,9.34,7.14,0.36,0.33,0,0
-0.01,1.02,-0.38,-45.59,-1.16,2.32,0.73,0.43,0.22,0
0.04,1.09,-0.4,-61.89,-5.98,-5.62,0.77,0.05,0.2,0
-0.03,1.04,-0.19,-22.46,5.49,4.39,0.49,0.24,0,0.11
0.03,1.04,-0.17,-26.73,-5.98,4.39,0.45,0.22,0,0.15
0,0.98,-0.41,-37.54,-13.31,10.56,0.59,0.46,0.13,0
-0.06,0.96,-0.48,-40.34,-3.05,12.27,0.74,0.24,0.19,0
0.14,0.98,-0.24,-32.96,-9.22,9.52,0.2,0.1,0,0.49
0.02,0.99,-0.42,-42.72,2.69,5.31,0.48,0.38,0.07,0
0.13,0.96,-0.21,-23.74,-5.49,18.62,0.11,0,0,0.72
0.21,0.97,-0.54,-107.6,-27.34,25.39,0.6,0,0.12,0
0.13,1.04,-0.03,82.15,77.45,-51.64,0.22,0.11,0,0.48
0.02,1.16,-0.43,-82.52,27.28,-3.3,0.94,0.41,0.26,0
0.09,0.99,-0.43,-44.92,-6.53,5.68,1.04,0.54,0.15,0
0.07,1.04,-0.38,-45.1,10.25,-6.35,1.08,0.48,0.29,0
0.26,0.96,-0.13,-45.59,-54.02,33.57,0.31,0.32,0,0.87
0.08,1.02,-0.44,-38.02,-14.83,2.2,1.09,0.34,0.39,0
0.01,1.03,-0.35,-30.64,-9.22,5.8,1.01,0.49,0.21,0
0.1,0.96,-0.29,-25.09,3.78,4.03,0.44,0.41,0,0.61
