accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
-0.14,1.09,-0.39,-62.44,-39.73,30.15,0.71,0.18,0.31,0
-0.31,1.02,-0.41,-42.11,-19.53,-3.42,0.53,0.22,0.23,0
-0.24,1.04,-0.34,-45.23,-26.49,-0.12,0.59,0.26,0.24,0
-0.37,1,-0.35,-74.46,-7.39,-8.06,0.61,0.25,0.25,0
-0.27,1.01,-0.26,-45.1,17.46,-5.07,0.67,0.25,0.24,0.16
-0.15,1,-0.16,-27.71,-17.27,22.09,0.09,0.14,0,1.02
-0.45,0.93,-0.27,-17.33,-33.69,1.65,0.77,0.12,0.46,0
-0.3,0.99,-0.32,-31.07,-2.69,-3.36,0.76,0.22,0.47,0
-0.36,0.93,-0.34,-63.48,54.63,-14.65,0.85,0.08,0.59,0
-0.14,1.04,-0.14,-23.19,9.95,10.19,0.08,0,0,1.07
-0.36,1.05,-0.33,-40.77,-39.31,0.31,0.85,0.17,0.61,0
-0.13,1.02,-0.17,-20.69,-18.49,8.97,0.22,0.17,0.07,0.78
-0.27,0.98,-0.46,-50.05,-29.11,-5.37,0.44,0,0.47,0
-0.29,0.99,-0.22,-12.15,2.2,9.64,0.75,0,0.42,0.31
-0.35,0.95,-0.5,-10.74,-18.13,1.22,0.65,0.4,0.58,0
-0.29,0.95,-0.37,-24.23,7.45,-16.66,0.64,0.4,0.37,0.24
-0.44,0.91,-0.22,-22.95,-2.08,2.75,0.66,0,0.37,0.22
-0.25,0.95,-0.48,-26.67,-14.22,-0.61,0.13,0,0.09,0
-0.26,0.92,-0.26,-15.38,-4.46,4.7,0.67,0,0.5,0
-0.33,0.93,-0.51,-31.92,-24.84,-6.77,0.13,0,0.18,0
