accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
-0.02,1.02,-0.11,-28.81,-24.11,8.79,0.54,0.31,0,0.34
-0.05,1.05,-0.42,-60.3,-3.36,9.83,0.37,0.18,0,0
0.08,1.01,-0.21,-23.19,17.88,8.18,0.49,0.36,0,0
0.06,1.05,-0.28,-26.49,-11.29,12.21,0.7,0.5,0,0
0.62,1.28,-0.27,-22.89,269.23,-28.63,0,0.11,0,0.6
0.01,0.97,-0.31,-40.65,-23.07,11.11,0.92,0.45,0,0
0.02,1.04,-0.43,-46.88,-15.2,6.47,0.96,0.33,0,0
-0.14,1.02,-0.06,-18.86,1.1,13.73,0.14,0.23,0,0.71
-0.03,1.01,-0.42,-37.11,1.16,7.45,0.89,0.23,0.11,0
0.33,1.05,-0.17,7.45,100.77,29.97,0,0.04,0,0.53
0.05,1.02,-0.21,-11.9,-13.49,6.04,0.59,0.34,0,0.41
0.07,0.99,-0.21,9.34,35.77,-19.23,0.52,0.48,0,0
0.02,0.95,-0.15,-24.78,37.9,0.85,0.47,0.3,0,0.23
0.14,1,-0.28,-27.71,-15.44,10.86,0.31,0.4,0,0.48
0.07,1.04,-0.48,-56.34,-71.9,18.01,0,0.15,0,0
-0.01,1.02,-0.42,-41.32,-2.5,13.73,0.42,0.46,0,0
0.21,0.88,-0.66,8.54,-138,15.75,0,0.05,0,0
0.09,0.99,-0.34,-15.38,-21.91,8.61,0.82,0.48,0,0
0.26,1,-0.24,-7.02,-1.04,18.68,0.45,0.16,0,0.62
0.11,1.04,-0.36,-49.56,-12.45,-5.31,0.76,0.25,0,0
