accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
-0.16,1.04,-0.09,-38.02,-45.65,8.91,0.66,0.33,0.04,0.32
0,1.03,-0.2,-37.78,0.18,12.51,0.57,0.41,0,0.27
0.09,1.42,-0.92,183.04,45.78,-53.34,0,0,0,0.05
0.08,1.02,-0.23,-27.16,21.73,-3.23,0.47,0,0,0.58
0.02,1.09,-0.08,-59.88,-104.43,35.83,0.12,0,0,0.82
-0.06,1.18,-0.43,-91.13,-19.65,27.4,0.41,0.06,0,0
-0.09,1.02,-0.03,-49.8,-78.31,23.8,0.28,0.15,0,0.89
0.02,1.02,-0.15,-15.56,4.46,-3.72,0.47,0,0,0.79
-0.01,1.01,-0.25,2.32,-2.32,-1.59,0.9,0,0,0.07
0.09,1.01,-0.25,8.06,-61.22,-13.43,0.75,0,0.16,0
-0.04,1,-0.25,-25.27,-0.24,1.83,0.85,0.44,0,0
0.15,1.02,-0.14,-19.96,37.72,5.19,0.49,0.31,0,0.73
-0.02,1.04,-0.4,-43.76,3.54,7.39,0.56,0.43,0,0
-0.12,1,-0.08,-16.05,7.63,9.34,0.54,0.27,0,0.64
-0.09,1.06,-0.03,-46.45,-110.17,29.72,0.22,0,0,0.85
-0.09,1.02,-0.15,-29.11,-29.24,19.9,0.64,0.39,0,0.22
-0.06,1.02,-0.22,-20.75,10.5,-0.12,0.75,0.35,0,0.09
0,0.99,-0.4,-38.09,26.37,7.45,0.61,0.46,0,0
-0.12,0.94,-0.04,4.7,34.3,18.62,0.22,0.15,0,0.81
-0.1,1,-0.31,-22.22,-19.53,15.63,0.66,0.47,0,0
