accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
-0.34,0.99,-0.36,-33.63,-10.86,-5.49,0.47,0.32,0.48,0
-0.32,0.96,-0.23,-9.34,-10.86,0.67,0.34,0.26,0.26,0.62
-0.28,0.94,-0.48,-27.28,-14.28,-9.16,0.45,0.09,0.61,0
-0.33,0.94,-0.13,-17.09,10.13,0.98,0.23,0.1,0.08,0.96
-0.32,0.98,-0.43,-30.21,-12.39,-1.16,0.77,0.33,0.55,0
0.03,0.93,0.01,-7.75,-45.41,38.82,0,0.06,0,0.58
-0.28,0.98,-0.19,-13.49,-2.69,-4.33,0.5,0.24,0.27,0.63
-0.26,0.98,-0.46,-30.33,-12.63,-5.31,0.3,0.23,0.35,0
-0.22,0.96,-0.12,-1.71,-64.7,21.79,0.29,0,0.13,0.99
-0.28,0.97,-0.46,-45.29,16.11,-6.04,0.2,0,0.25,0
-0.43,0.87,-0.08,-17.82,-18.49,-3.85,0.26,0.06,0.09,0.95
-0.37,0.94,-0.32,-38.76,-6.84,-0.61,0.72,0,0.65,0
-0.28,0.98,-0.18,-14.71,-34,-2.01,0.1,0.2,0.05,0.67
0.05,0.93,-0.53,-28.32,2.38,-7.57,0.23,0.05,0,0
0.02,1.01,-0.37,-23.5,2.5,1.71,0.88,0.31,0.17,0
-0.03,1,-0.24,-13.55,-8.97,1.59,0.8,0.2,0.08,0.31
0.05,1,-0.43,-36.68,-2.08,-13.61,0.7,0.21,0.26,0
0.25,1.03,-0.22,-28.38,14.04,13,0.08,0,0,0.74
0.11,1.03,-0.38,-41.26,5.37,-22.16,0.98,0.27,0.29,0
-0.61,1.42,0.32,-22.52,-0.31,18.68,0.1,0,0,0.93
