accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
0.1,1,-0.31,-25.57,-13.85,10.8,0.89,0.36,0,0
0.1,0.97,-0.15,-16.24,52.61,-8.42,0.29,0.07,0,0.68
0,1.02,-0.3,-30.94,-15.01,10.62,0.92,0.28,0.13,0
0.54,0.65,-0.42,-14.04,149.54,17.76,0.25,0.09,0,0.72
0.07,1.04,-0.39,-57.62,4.21,4.58,0.81,0.26,0.12,0
0.08,1.01,-0.23,-18.74,26.92,-1.53,0.48,0.19,0,0.57
0.14,0.99,-0.21,-0.12,27.53,-10.31,0.44,0.23,0,0.47
0.2,0.96,-0.23,-24.23,30.09,-0.12,0.37,0.07,0,0.7
0.3,1.05,-0.47,-107.42,-52.73,23.99,0.06,0.11,0,0
0.07,0.95,-0.13,-25.33,40.28,-5.92,0.22,0.06,0,0.72
0.09,1.05,-0.47,-68.66,0.79,-3.54,0.35,0.15,0,0
0.03,1.04,-0.34,-55.79,-5.68,-0.92,0.87,0.42,0,0
0.11,0.98,-0.36,-70.56,10.31,-9.58,0.66,0.3,0,0
0.13,0.99,-0.22,-4.27,9.64,-1.28,0.25,0.12,0,0.55
0.22,0.92,-0.41,-38.21,-18.31,-18.43,0.24,0.07,0,0
0.05,1.07,-0.18,7.75,-31.56,6.47,0.09,0.12,0,0.64
-0.06,0.92,-0.41,-22.09,-82.82,38.09,0.25,0.16,0,0.12
0.4,1.18,-0.44,-136.9,-5.55,59.27,0.37,0.05,0,0
-0.05,1.06,0.07,-39.98,-16.05,36.62,0.1,0.08,0,0.69
0.21,1.06,-0.24,-52.37,-137.88,67.26,0.15,0.06,0,0.49
