accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
0.26,1.08,-0.27,5.07,64.58,-0.37,0.26,0.29,0,0.46
0.17,1.06,-0.38,-45.47,-24.29,11.9,0.89,0.32,0.15,0
0.09,0.99,-0.22,-19.84,7.45,1.83,0.71,0.33,0.07,0.43
0.02,1.07,-0.37,-44.92,-0.12,2.14,0.85,0.61,0.15,0
-0.21,1.31,0.11,-29.85,2.69,2.44,0.46,0.17,0,0.78
0.02,1.02,-0.34,-36.99,-20.02,5.74,0.9,0.45,0.17,0
0.08,1,-0.23,-33.39,4.27,2.99,0.38,0.34,0,0.44
0.07,1.06,-0.41,-67.63,7.51,-3.66,0.96,0.34,0.31,0
0.26,0.89,-0.55,23.5,-60.61,12.45,0.28,0,0,0.16
0.31,0.91,-0.29,6.71,-1.04,-45.72,0,0.35,0,0.51
0.07,0.99,-0.29,-21.91,25.27,-7.69,0.78,0.5,0.09,0.1
0.08,1.02,-0.24,-17.94,-0.61,5.07,0.4,0.48,0,0.63
0.11,0.97,-0.5,-72.27,9.09,-14.34,0.24,0.13,0.06,0
0.07,1.02,-0.29,-22.09,-7.93,3.72,0.64,0.47,0.05,0.27
-0.02,1.03,-0.22,-26.79,-4.76,3.48,0.55,0.42,0,0.19
0.02,1.03,-0.38,-38.39,-2.69,2.01,0.79,0.39,0.13,0
0.14,0.99,-0.22,-20.75,45.84,-9.89,0.25,0.38,0,0.65
0.03,1.04,-0.48,-83.01,13.06,4.76,0.07,0.09,0,0
0.04,1,-0.31,-30.09,-10.93,4.15,0.62,0.37,0.12,0
-0.21,1.09,-0.07,-27.22,6.71,5.07,0.2,0.22,0,0.69
