accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.02,-0.06,-1.24,2.93,0.06,-0.24,0.37,0.00,0.00,0.73,2
-0.02,-0.06,-1.24,2.87,0.06,-0.49,0.37,0.00,0.00,0.66,2
-0.02,-0.06,-1.24,2.81,0.06,-0.49,0.52,0.00,0.00,0.53,2
-0.02,-0.07,-1.25,2.44,0.06,-0.61,0.53,0.00,0.00,0.50,2
-0.02,-0.06,-1.25,3.05,0.24,-0.43,0.60,0.00,0.00,0.43,2
-0.02,-0.06,-1.24,3.05,0.18,-0.31,0.50,0.00,0.00,0.56,2
-0.02,-0.06,-1.25,2.81,0.00,-0.24,0.46,0.00,0.00,0.70,2
-0.03,-0.06,-1.24,3.05,0.18,-0.61,0.39,0.00,0.00,0.72,2
-0.02,-0.06,-1.25,2.99,0.00,-0.24,0.42,0.00,0.00,0.70,2
-0.02,-0.06,-1.24,2.99,0.06,-0.49,0.43,0.00,0.00,0.70,2
-0.02,-0.06,-1.25,3.05,0.18,-0.61,0.42,0.00,0.00,0.72,2
-0.03,-0.06,-1.24,2.93,0.24,-0.24,0.50,0.00,0.00,0.72,2
-0.03,-0.06,-1.24,2.93,0.43,-0.43,0.46,0.00,0.00,0.60,2
-0.02,-0.06,-1.25,2.87,-0.12,-0.37,0.47,0.00,0.00,0.61,2
-0.02,-0.06,-1.25,2.93,0.06,-0.18,0.45,0.00,0.00,0.62,2
-0.02,-0.06,-1.25,3.17,0.49,-0.61,0.56,0.00,0.00,0.54,2
-0.02,-0.07,-1.24,2.81,-0.12,-0.37,0.80,0.00,0.00,0.17,2
-0.02,-0.06,-1.25,3.05,0.24,-0.24,0.52,0.00,0.00,0.67,2
-0.02,-0.06,-1.24,2.81,-0.06,-0.43,0.68,0.00,0.00,0.56,2
-0.02,-0.06,-1.25,2.75,0.12,-0.43,0.52,0.00,0.00,0.59,2
-0.02,-0.06,-1.24,2.87,0.37,-0.18,0.47,0.00,0.00,0.61,2
-0.02,-0.06,-1.24,3.05,0.00,-0.37,0.42,0.00,0.00,0.65,2
-0.02,-0.06,-1.25,2.87,0.06,-0.06,0.42,0.00,0.00,0.67,2
-0.03,-0.06,-1.24,2.87,0.12,-0.37,0.43,0.00,0.00,0.68,2
-0.02,-0.06,-1.24,3.05,0.24,-0.37,0.46,0.00,0.00,0.65,2
-0.02,-0.06,-1.25,2.99,0.24,-0.43,0.49,0.00,0.00,0.74,2
-0.02,-0.06,-1.25,2.87,-0.06,-0.31,0.46,0.00,0.00,0.67,2
-0.02,-0.06,-1.24,2.93,0.00,-0.31,0.46,0.00,0.00,0.68,2
-0.02,-0.06,-1.24,2.99,0.24,-0.55,0.47,0.00,0.00,0.68,2
-0.02,-0.07,-1.24,2.93,0.06,-0.37,0.50,0.00,0.00,0.64,2
-0.02,-0.06,-1.25,2.75,0.18,-0.49,0.49,0.00,0.00,0.65,2
-0.02,-0.06,-1.24,2.93,-0.06,-0.55,0.43,0.00,0.00,0.69,2
-0.02,-0.06,-1.24,3.05,0.24,-0.61,0.41,0.00,0.00,0.72,2
-0.02,-0.07,-1.24,2.93,-0.18,-0.31,0.43,0.00,0.00,0.70,2
-0.02,-0.06,-1.24,2.81,0.12,-0.43,0.43,0.00,0.00,0.71,2
-0.02,-0.06,-1.24,2.87,0.24,-0.67,0.48,0.00,0.00,0.68,2
-0.02,-0.07,-1.23,3.48,0.61,-0.43,0.19,0.00,0.00,0.31,2
-0.04,-0.05,-1.25,2.32,0.06,-0.18,0.00,0.00,0.00,0.00,2
-0.04,-0.06,-1.25,4.33,0.49,1.59,0.00,0.00,0.00,0.00,2
-0.03,-0.05,-1.23,2.56,0.18,-0.85,0.00,0.00,0.00,0.00,2
-0.05,-0.03,-1.25,4.64,1.59,-0.67,0.00,0.00,0.00,0.00,2
-0.04,-0.02,-1.32,2.38,-0.98,3.42,0.00,0.00,0.00,0.00,2
-0.02,-0.04,-1.25,2.20,0.49,-0.37,0.00,0.00,0.00,0.00,2
-0.03,-0.05,-1.24,2.69,0.24,-0.12,0.00,0.00,0.00,0.00,2
-0.02,-0.05,-1.24,3.05,0.43,-0.31,0.00,0.00,0.00,0.00,2
-0.02,-0.05,-1.24,2.75,0.24,-0.37,0.00,0.00,0.00,0.00,2
-0.02,-0.04,-1.25,3.05,0.31,-0.31,0.00,0.00,0.00,0.00,2
-0.03,-0.05,-1.24,2.75,-0.06,-0.18,0.00,0.00,0.00,0.00,2
-0.03,-0.05,-1.24,2.75,0.31,-0.55,0.00,0.00,0.00,0.00,2
-0.03,-0.05,-1.24,2.99,0.06,-0.24,0.00,0.00,0.00,0.00,2
-0.03,-0.05,-1.24,3.05,0.12,-0.24,0.00,0.00,0.00,0.00,2
-0.03,-0.05,-1.25,2.87,0.18,-0.31,0.00,0.00,0.00,0.00,2
-0.03,-0.05,-1.24,2.75,0.12,-0.43,0.00,0.00,0.00,0.00,2
-0.03,-0.05,-1.25,2.81,-0.06,-0.18,0.00,0.00,0.00,0.00,2
