accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
-0.03,1.07,-0.38,-55.85,7.08,-0.92,0.57,0.11,0,0
-0.08,1,-0.09,-19.96,-8.54,8.91,0.16,0.26,0,0.72
-0.2,1.11,-0.01,-26.98,99.79,-24.35,0.33,0.14,0,0.69
0.1,1.06,-0.43,-84.9,-51.15,36.87,0.25,0.25,0,0
-0.08,1.04,-0.21,-29.66,-25.27,4.7,0.86,0.35,0.07,0.09
-0.06,0.98,-0.34,-21.91,-2.62,7.2,0.71,0.49,0,0
-0.17,0.98,-0.02,-25.15,-7.02,-1.89,0.45,0.22,0,0.72
0.15,0.96,-0.13,-41.87,-62.74,45.65,0.12,0,0,0.8
-0.04,1.04,-0.36,-35.58,7.45,2.81,0.9,0.6,0,0
-0.16,1.01,-0.06,-20.87,-14.59,2.81,0.29,0,0,0.98
-0.11,1.03,-0.37,-53.04,-18.8,8.18,0.96,0.28,0,0
-0.03,1.01,-0.19,-19.53,-6.53,2.87,0.88,0.28,0.11,0.25
0.31,0.77,-0.26,-33.14,112.37,-16.66,0.14,0,0,0.62
0.07,1.03,-0.38,-30.52,-9.16,3.78,0.92,0.57,0,0
0.1,0.99,-0.23,-26.79,-6.35,5.25,0.88,0,0.05,0
-0.19,1.06,-0.06,-38.21,-17.15,10.01,0.79,0,0,0.13
0.04,0.68,-0.04,-38.51,52.8,26.86,0.16,0,0,0.63
0,1,-0.34,-31.86,-9.16,9.89,1.01,0,0.07,0
0.18,1.02,-0.2,0.73,49.68,-11.17,0.22,0,0,0.85
-0.1,1.03,0.03,-27.1,21.55,20.75,0.39,0,0,0.9
