accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.03,0.07,-1.25,10.56,0.18,-1.53,0.00,0.00,0.00,0.00,2
-0.04,0.07,-1.24,2.99,-0.06,-0.79,0.00,0.00,0.00,0.00,2
-0.04,0.06,-1.24,3.11,-0.31,-0.55,0.00,0.00,0.00,0.00,2
-0.04,0.07,-1.24,2.50,0.06,-0.73,0.00,0.00,0.00,0.00,2
-0.04,0.07,-1.25,2.93,-0.12,-0.61,0.00,0.00,0.00,0.09,2
-0.04,0.06,-1.25,2.99,-0.12,-0.43,0.00,0.00,0.00,0.00,2
-0.04,0.07,-1.24,2.93,0.24,-0.73,0.00,0.00,0.00,0.00,2
-0.04,0.03,-1.23,2.14,-0.06,-0.85,0.00,0.00,0.00,0.00,2
-0.05,0.02,-1.24,-0.24,0.18,-0.73,0.00,0.00,0.00,0.00,2
-0.04,0.07,-1.24,2.81,-0.37,-0.85,0.00,0.00,0.00,0.00,2
-0.04,0.07,-1.25,3.36,-0.18,-0.43,0.00,0.00,0.00,0.00,2
-0.04,0.07,-1.25,2.99,-0.24,-0.49,0.00,0.00,0.00,0.24,2
-0.04,0.05,-1.24,-5.74,-16.97,-0.12,0.00,0.00,0.00,0.00,2
-0.04,0.06,-1.24,2.87,0.12,-0.55,0.00,0.00,0.00,0.11,2
-0.04,0.06,-1.24,3.17,-0.31,-0.73,0.00,0.00,0.00,0.70,2
-0.04,0.06,-1.24,3.05,0.00,-0.55,0.05,0.00,0.00,0.85,2
-0.04,0.06,-1.24,3.17,-0.12,-0.55,0.50,0.16,0.00,0.57,2
-0.04,0.06,-1.24,2.99,0.00,-0.49,0.66,0.25,0.00,0.78,2
-0.04,0.06,-1.25,2.99,-0.12,-0.85,0.73,0.40,0.00,0.42,2
-0.04,0.06,-1.24,2.93,-0.12,-0.55,0.56,0.30,0.00,0.83,2
-0.04,0.06,-1.24,3.05,-0.12,-0.73,0.38,0.19,0.00,0.90,2
-0.04,0.07,-1.25,2.99,0.12,-0.61,0.55,0.51,0.00,0.99,2
-0.04,0.06,-1.24,3.11,0.24,-0.67,0.00,0.00,0.00,0.30,2
-0.04,0.07,-1.24,2.93,0.00,-0.67,0.00,0.00,0.00,0.47,2
