accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
0.02,1,-0.18,2.32,-0.43,-0.92,0.29,0.2,0,0.73
0.03,1,-0.17,3.54,-0.67,-0.55,0.29,0.2,0,0.73
0.03,1,-0.15,6.35,-0.98,-1.04,0.29,0.19,0,0.74
-0.07,1.03,-0.31,-4.15,8.79,10.01,0.56,0.36,0,0.36
-0.03,1,-0.09,10.07,18.37,-7.08,0.56,0.45,0,0.59
-0.05,1.04,-0.06,-4.82,-10.19,60.73,0.17,0,0,0.73
-0.08,1.08,-0.46,-74.65,-7.45,23.25,0.74,0.53,0,0
0.17,1.04,-0.28,-46.81,5.8,19.23,0.56,0.48,0,0.1
-0.11,0.99,-0.11,-35.77,23.86,2.87,0.65,0.33,0.05,0.27
0.13,1.03,-0.17,-16.6,28.56,6.1,0.07,0,0,1
-0.1,1.03,-0.41,-37.78,-4.58,9.09,0.67,0.45,0,0
-0.19,0.93,-0.02,-40.77,21.97,10.93,0.67,0.22,0,0.33
0.33,1.09,-0.01,-39.86,29.66,-9.03,0.09,0,0,0.55
0,1.02,-0.34,-23.07,-3.6,4.15,0.92,0.62,0,0
-0.17,1.04,-0.05,-24.66,0.55,7.93,0.32,0.2,0,0.86
-0.07,0.98,-0.41,-68.3,5.74,2.14,0.38,0.16,0,0
-0.13,0.98,-0.05,-19.71,7.75,0.37,0.33,0.31,0,0.63
-0.09,1.02,-0.31,-33.63,6.23,9.7,0.62,0.45,0,0.09
0.13,1.1,-0.12,-33.87,10.5,13.18,0.22,0.11,0,0.83
0.1,1,-0.27,-33.33,20.69,12.57,0.66,0.42,0,0.06
