accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.47,-0.10,-1.13,2.99,-0.12,-0.43,0.30,0.00,0.00,0.00,Normal
-0.48,-0.10,-1.14,3.36,0.18,-0.67,0.30,0.00,0.00,0.00,Normal
-0.48,-0.10,-1.13,2.93,0.24,-0.55,0.31,0.00,0.00,0.00,Normal
-0.47,-0.10,-1.12,3.36,-0.06,-0.49,0.25,0.00,0.00,0.00,Normal
-0.47,-0.10,-1.13,3.17,-0.31,-0.49,0.83,0.00,0.00,0.00,Normal
-0.47,-0.10,-1.13,2.99,0.18,-0.55,0.00,0.00,0.00,0.00,Normal
-0.48,-0.10,-1.13,3.36,0.24,-0.67,0.82,0.00,0.00,0.00,Normal
-0.47,-0.10,-1.13,2.93,0.06,-0.49,0.21,0.00,0.00,0.00,Normal
-0.47,-0.10,-1.13,3.11,-0.12,-0.49,0.41,0.00,0.00,0.00,Normal
-0.47,-0.10,-1.13,3.17,0.12,-0.61,0.34,0.00,0.00,0.00,Normal
-0.47,-0.10,-1.13,2.93,0.12,-0.85,0.32,0.00,0.00,0.00,Normal
-0.48,-0.08,-1.15,2.87,0.67,-0.79,0.69,0.00,0.00,0.00,Normal
-0.48,-0.09,-1.13,2.99,-0.49,-0.31,0.83,0.00,0.00,0.00,Normal
-0.49,-0.09,-1.14,3.05,0.18,-0.55,0.93,0.00,0.00,0.00,Normal
-0.46,-0.16,-1.16,3.60,-3.78,0.98,0.97,0.00,0.00,0.00,Normal
-0.50,-0.15,-1.12,7.08,0.31,10.80,0.95,0.00,0.00,0.00,Normal
