accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
-0.01,1.03,-0.42,-51.7,6.9,-3.78,0.44,0.42,0.1,0
0.04,1.02,-0.24,-17.64,15.26,-4.82,0.51,0,0,0.67
0.12,0.97,-0.22,-19.59,2.69,-1.16,0.15,0,0,0.59
0.11,0.97,-0.15,-27.89,18.01,14.34,0.27,0,0,0.8
0.01,0.99,-0.54,-38.02,-16.97,13.73,0.99,0,0.29,0
-0.09,0.95,-0.25,-13.31,51.94,-7.93,0.34,0.23,0,0.76
0.1,1.09,-0.45,-68.97,18.86,-10.56,0.5,0.49,0.24,0
0.01,1.02,-0.28,-17.58,-7.02,0,0.94,0.32,0.12,0
0.22,0.96,-0.3,-15.26,33.26,8.73,0.05,0.09,0,0.87
0.02,0.99,-0.51,-32.53,7.51,-3.36,0.37,0.22,0.05,0
0.16,0.99,-0.24,-20.26,-4.27,27.1,0.05,0,0,0.96
0.06,1.02,-0.35,-12.82,23.62,-2.87,0.74,0.27,0.12,0
0.12,1.01,-0.46,-21.12,-4.46,2.08,0.72,0.19,0.07,0
0.03,0.94,-0.35,-16.78,6.77,-1.95,0.81,0.33,0.16,0
-0.03,1.02,-0.25,-14.71,-10.86,2.08,0.5,0.41,0,0.15
0.02,1.01,-0.48,-27.59,7.26,-4.33,0.07,0.3,0,0
0.26,0.93,-0.63,-15.38,-163.39,28.56,0,0.09,0,0
0.08,1.04,-0.38,-9.64,40.89,-5.19,0.52,0.47,0.09,0
0.02,0.94,-0.52,-30.46,-7.32,4.52,0.16,0.09,0.1,0
-0.04,1.04,-0.3,-18.98,-5.13,2.01,1.05,0.2,0.23,0
0.1,1.02,-0.27,-17.94,-4.33,2.32,0.55,0.32,0,0.37
