accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
0.06,0.03,-1.26,2.75,-0.06,-0.18,0.00,0.62,0.00
0.07,0.04,-1.25,3.05,0.43,-0.06,0.00,0.72,0.00
0.06,0.02,-1.25,2.56,0.61,-0.06,0.00,0.00,0.00
0.06,0.02,-1.25,3.05,0.49,0.12,0.00,0.00,0.00
0.06,0.02,-1.24,3.48,0.43,0.31,0.00,0.00,0.00
0.06,0.02,-1.25,2.38,0.31,0.06,0.00,0.00,0.00
0.06,0.03,-1.25,2.56,0.18,0.12,0.00,0.00,0.67
0.07,0.03,-1.24,1.89,0.18,0.18,0.00,0.00,0.85
0.06,0.03,-1.25,2.93,0.00,0.18,0.00,0.00,0.00
0.06,0.04,-1.24,2.62,1.34,-0.18,0.00,0.00,0.00
0.10,0.01,-1.17,2.62,2.20,-0.31,0.00,0.00,0.00
0.13,0.00,-1.26,2.20,3.11,0.06,0.00,0.00,0.00
0.07,0.04,-1.25,2.56,2.20,0.12,0.00,0.00,0.00
0.07,0.03,-1.25,1.34,-4.09,-0.24,0.00,0.00,0.00
0.05,0.05,-1.32,2.14,-1.65,-0.79,0.00,0.00,0.00
0.07,0.03,-1.25,2.44,0.31,0.37,0.00,0.00,0.00
0.06,0.02,-1.25,3.05,-0.98,0.12,0.00,0.00,0.00
0.06,0.02,-1.24,3.85,1.40,0.18,0.00,0.00,0.00
0.07,0.03,-1.25,2.50,-0.24,0.06,0.00,0.00,0.00
0.06,0.02,-1.24,2.62,0.31,0.06,0.00,0.00,0.00
0.06,0.03,-1.25,2.87,-0.06,0.12,0.00,0.00,0.00
0.07,0.03,-1.25,2.56,0.24,0.00,0.00,0.00,0.00
0.06,0.02,-1.24,2.38,0.67,0.18,0.00,0.00,0.00
0.06,0.03,-1.26,2.75,-0.31,-0.06,0.00,0.00,0.00
0.07,0.02,-1.25,3.05,0.31,0.12,0.00,0.00,0.00
0.06,0.02,-1.25,2.26,1.10,-0.24,0.00,0.00,0.00
0.06,0.03,-1.26,2.62,0.37,-0.06,0.00,0.00,0.00
0.06,0.03,-1.25,2.81,-0.49,-0.06,0.00,0.00,0.00
0.06,0.04,-1.25,2.87,-0.06,0.24,0.00,0.00,0.00
0.07,0.02,-1.24,1.46,0.92,-0.06,0.00,0.00,0.00
0.07,0.03,-1.25,3.54,-0.79,0.31,0.00,0.00,0.00
0.06,0.03,-1.25,2.87,0.37,0.24,0.77,0.00,0.00
0.06,0.02,-1.25,3.17,-0.43,0.24,0.90,0.00,0.00
0.07,0.03,-1.25,2.99,0.00,0.55,0.87,0.00,0.00
0.06,0.03,-1.25,3.36,-0.49,0.12,0.00,0.00,0.00
0.06,0.03,-1.25,3.11,-0.49,-0.12,0.00,0.00,0.00
0.06,0.02,-1.25,3.97,-0.06,0.43,0.00,0.00,0.00
0.06,0.02,-1.25,3.17,-0.06,0.00,0.00,0.00,0.08
0.06,0.02,-1.25,3.30,-0.12,0.24,0.00,0.00,0.75
0.07,0.03,-1.25,3.11,0.00,-0.12,0.00,0.00,0.89
0.06,0.02,-1.25,3.30,-0.18,0.00,0.00,0.00,0.97
0.07,0.03,-1.25,2.14,-0.06,-0.49,0.00,0.00,0.81
0.06,0.02,-1.24,2.50,0.43,-0.18,0.00,0.00,0.46
0.06,0.02,-1.25,3.11,-0.37,-0.06,0.00,0.00,0.00
0.06,0.02,-1.25,3.05,0.24,0.00,0.00,0.00,0.00
0.06,0.03,-1.25,2.69,-0.06,0.06,0.00,0.00,0.00
0.07,0.02,-1.24,2.62,-0.12,0.00,0.00,0.00,0.00
0.03,0.03,-1.27,0.49,7.81,-0.12,0.00,0.00,0.00
0.02,0.03,-1.26,-0.92,5.55,-0.43,0.00,0.00,0.00
0.04,0.03,-1.26,2.08,0.00,0.06,0.00,0.00,0.00
0.04,0.03,-1.26,2.62,-0.12,0.00,0.00,0.00,0.00
0.04,0.02,-1.25,3.48,0.12,0.18,0.00,0.00,0.00
0.06,0.01,-1.19,4.88,7.14,0.18,0.00,0.00,0.00
0.03,0.02,-1.23,-0.12,-2.08,-0.24,0.00,0.00,0.00
-0.06,0.02,-1.22,2.14,-6.96,-0.73,0.00,0.00,0.00
-0.00,0.03,-1.26,3.11,0.55,0.18,0.00,0.00,0.00
-0.02,0.02,-1.26,2.20,-2.93,0.00,0.00,0.00,0.00
0.01,0.04,-1.26,4.27,4.94,-0.31,0.00,0.00,0.00
-0.02,0.06,-1.29,4.15,-6.90,-0.49,0.00,0.00,0.00
0.01,0.02,-1.25,1.77,-0.49,0.18,0.00,0.00,0.00
-0.02,0.01,-1.18,1.40,2.08,0.49,0.00,0.00,0.00
0.01,0.08,-1.26,4.94,4.21,1.83,0.00,0.00,0.00
-0.01,0.02,-1.25,2.81,-0.06,-0.24,0.00,0.00,0.00
-0.01,0.02,-1.25,2.69,0.31,-0.06,0.00,0.00,0.00
-0.01,0.02,-1.25,2.50,0.06,-0.18,0.00,0.00,0.00
-0.02,0.02,-1.25,2.99,-0.12,-0.12,0.00,0.00,0.00
-0.02,0.02,-1.25,2.87,-0.43,-0.06,0.00,0.00,0.00
