accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.03,-0.09,-1.24,3.05,-0.06,-0.85,0.00,0.00,0.00,0.00,Normal
-0.03,-0.09,-1.24,3.11,0.18,-0.61,0.00,0.00,0.00,0.00,Normal
-0.03,-0.09,-1.24,2.93,-0.18,-0.85,0.00,0.00,0.00,0.00,Normal
-0.03,-0.09,-1.24,3.17,-0.24,-0.85,0.00,0.00,0.00,0.00,Normal
-0.03,-0.09,-1.24,3.05,0.18,-0.73,0.00,0.00,0.00,0.00,Normal
-0.02,-0.07,-1.24,-3.78,5.55,-9.95,0.00,0.00,0.00,0.00,Normal
-0.05,-0.11,-1.23,3.78,-0.18,2.56,0.00,0.00,0.00,0.00,Normal
-0.05,-0.09,-1.24,2.93,0.18,0.98,0.00,0.00,0.00,0.00,Normal
-0.07,-0.11,-1.22,2.93,0.98,0.85,0.04,0.00,0.00,0.00,Normal
0.01,-0.04,-1.31,3.05,-1.22,1.77,0.06,0.00,0.00,0.00,Normal
-0.00,-0.18,-1.24,9.70,-6.41,8.06,0.00,0.00,0.00,0.00,Normal
-0.03,0.03,-1.18,17.33,0.67,-1.59,0.08,0.00,0.00,0.00,Normal
-0.03,0.06,-1.25,3.17,0.12,-0.55,0.11,0.00,0.00,0.00,Normal
-0.04,0.00,-1.25,-4.21,-1.59,-1.34,0.22,0.00,0.00,0.00,Normal
-0.04,-0.04,-1.25,3.36,-0.06,-1.04,0.00,0.00,0.00,0.00,Normal
-0.05,-0.06,-1.24,-3.36,-1.71,1.77,0.00,0.00,0.00,0.00,Normal
-0.04,-0.10,-1.23,15.44,1.46,3.05,0.00,0.00,0.00,0.00,Normal
-0.03,-0.07,-1.24,4.76,0.49,0.00,0.00,0.00,0.00,0.00,Normal
-0.03,-0.06,-1.24,4.58,-0.06,-0.37,0.00,0.00,0.00,0.00,Normal
-0.03,-0.06,-1.24,3.05,-0.06,-0.73,0.00,0.00,0.00,0.00,Normal
