accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
0.09,0.96,-0.2,-17.4,-93.69,55.97,0.17,0,0,0.82
-0.02,1.01,-0.23,1.89,2.93,3.54,0.78,0,0,0.26
-0.06,1.01,-0.31,-15.44,1.22,2.5,0.92,0,0,0.13
0.23,0.97,-0.25,6.04,45.72,-3.54,0.46,0,0,0.69
-0.02,0.98,-0.25,-20.45,11.35,2.26,0.99,0,0.24,0
0.1,0.99,-0.18,-25.88,12.39,2.44,0.64,0,0,0.46
0.27,0.88,-0.02,-52.43,-104.68,40.47,0.08,0,0,0.69
-0.04,1.04,-0.27,-31.86,-4.7,11.47,0.71,0,0,0.1
-0.07,1.07,-0.14,-22.09,-31.01,0.06,0.82,0,0,0.23
-0.01,1.07,0.01,-24.78,57.86,53.65,0,0,0,0.52
-0.02,0.99,-0.27,-24.96,4.33,5.86,1.04,0,0.13,0
0.16,1.08,-0.05,-38.21,-10.19,34.55,0,0,0,0.61
-0.02,1.16,-0.06,-18.49,4.39,4.39,0.66,0,0,0.32
0.01,1.01,-0.26,-10.62,-13.79,0.73,0.51,0,0,0.57
-0.01,0.96,-0.34,-17.03,20.08,1.46,0.99,0,0,0.06
0.16,0.99,-0.55,-77.7,-51.33,22.95,0.17,0.34,0,0
-0.11,1.04,-0.12,-16.78,-19.78,9.52,0.58,0.21,0,0.63
0.22,0.88,-0.1,-39.43,-43.03,33.57,0.08,0,0,0.64
-0.02,0.99,-0.32,-25.82,9.4,8,0.73,0.54,0,0.05
-0.03,1,0.07,-24.05,49.93,31.19,0.16,0.1,0,0.83
