accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4
-0.09,1.04,-0.09,-22.58,4.15,6.65,0.58,0,0,0.65
0.02,1.05,-0.37,-57.56,7.26,6.9,1.11,0.46,0.12,0
0.09,0.99,-0.16,-21,-13.98,8.85,0.28,0.23,0,0.57
0.25,0.86,-0.34,-21.79,13.61,0.92,0.61,0.26,0,0.25
0.16,0.77,-0.33,-41.44,5.55,-10.44,0.77,0.13,0.13,0
0.09,0.98,-0.2,9.7,12.57,20.02,0.26,0.23,0,0.7
0.03,1,-0.24,3.36,1.04,2.26,0.82,0,0,0
0.04,1,-0.23,0.79,1.95,-2.69,0.74,0,0,0.23
0.08,0.99,-0.29,0.49,-8.73,1.1,0.58,0.12,0.06,0
0.05,1.02,-0.29,2.99,-2.56,-1.1,0.62,0,0.15,0
0.11,1.13,-0.32,2.5,28.63,-19.59,0.63,0.53,0,0.15
0.01,1.01,-0.15,-21.3,43.76,-9.46,0.49,0.19,0,0.58
0.14,1,-0.19,-34.79,-20.81,15.44,0.65,0.32,0,0.34
-0.14,1.02,-0.12,-28.32,-5.74,7.75,0.86,0.33,0.06,0
-0.15,1.24,0.02,-63.48,-104.31,5.68,0.36,0.24,0,0.63
-0.04,1,-0.38,-35.34,7.69,6.53,0.94,0.44,0,0
0.03,1.03,-0.07,-7.2,-19.96,18.98,0.26,0.28,0,0.71
0.06,1.17,-0.17,-77.7,-158.51,45.29,0.13,0,0,0.75
0.13,1.09,-0.31,-63.29,-0.12,-0.43,0.93,0,0.22,0
0.07,1.01,-0.31,-33.51,8.36,3.05,0.85,0.6,0,0
